Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
10,-4,-5,-1,-15,-7,-13,14,5,6,3,-12,-6,-5,2,-4,9,-13,1,4,5,-51,-60,-74,-44,-29,-26,-35,-37,-33,-23,-17,-10,-5,-12,-12,-1,-17,2,-12,23,20,4,7,15,10,-3,26,2,-5,-10,-3,-7,-1,2,-9,4,11,-4,-15,7,-13,2,-14,REST
10,4,7,15,2,10,5,-6,2,11,14,0,4,5,-22,-7,9,-4,4,5,2,-44,-42,-39,-127,-14,-8,5,-45,-15,-10,-3,10,13,7,2,6,12,10,12,19,18,21,-4,2,7,-15,20,5,0,-8,3,-3,4,2,-20,1,11,5,-8,0,-10,-7,-12,REST
-15,7,14,27,13,20,12,4,12,16,17,16,16,11,-14,3,18,5,14,18,11,-73,-75,-55,-56,-10,-21,-4,-8,16,11,-2,7,7,4,-2,1,19,-7,3,16,18,12,-5,11,13,-10,26,9,6,2,16,11,15,14,-16,6,14,13,5,1,-7,19,-8,REST
2,16,13,17,5,12,11,13,22,16,16,15,21,18,-4,17,24,14,22,27,22,-46,-27,-33,-52,-39,-1,-8,-13,-6,-3,5,13,15,5,0,9,2,27,-2,14,37,14,9,14,20,6,44,18,21,10,24,17,19,13,2,24,13,18,7,12,2,14,-2,REST
14,21,10,14,-2,3,1,25,20,9,7,3,9,4,-5,9,8,4,14,14,10,-48,-58,-56,-47,-73,-18,-22,-3,-12,-18,-11,-5,-3,-11,-15,-22,20,20,-14,-12,17,24,10,20,12,6,31,5,6,-10,9,1,7,8,3,12,-6,1,-5,-5,-15,-9,-17,REST
7,6,-4,-2,-17,-8,-12,21,7,-8,-5,-10,-7,-10,-15,-7,-7,-7,-2,1,1,-67,-85,-68,-13,-61,-41,-53,-66,-34,-32,-24,-14,-19,-25,-25,-8,22,5,-24,15,-5,16,6,6,4,5,21,-8,-5,-24,-6,-14,-6,-3,-2,-3,-11,-12,-17,-15,-30,-22,-33,REST
2,-14,-20,-15,-33,-16,-14,-6,-10,-25,-21,-24,-16,-13,-21,-16,-15,-16,-16,-6,-1,-91,-81,-83,-82,-54,-49,-34,-55,-58,-46,-39,-29,-29,-33,-33,-25,-14,-8,-6,20,14,19,6,15,5,13,26,1,-2,-18,-7,-11,-6,-1,0,-3,-5,-8,-12,-5,-17,-8,-16,REST
-3,-11,-21,-16,-27,-17,-18,6,0,-24,-18,-23,-15,-11,-1,-5,-2,-8,-12,-5,0,-111,-49,-58,-101,-43,-31,-33,-13,-21,-21,-23,-12,-13,-16,-18,-1,12,27,14,-18,16,29,-21,14,3,13,30,6,2,-18,2,-4,2,4,4,-3,-3,-3,-6,5,-11,11,-12,REST
-13,-15,-19,-13,-18,-3,7,11,-5,-24,-20,-16,-7,-1,-15,-16,-12,-15,-14,-9,-3,-64,-68,-59,-114,-35,-41,-25,-14,-44,-44,-31,-21,-25,-27,-27,-12,-14,-10,20,27,15,4,-4,12,-7,-1,11,-11,-12,-24,-8,-13,-15,-15,-4,-19,-6,-17,-33,4,-23,-24,-24,REST
-8,-16,-25,-25,-33,-14,-9,-17,-20,-42,-32,-27,-13,-13,-35,-32,-25,-30,-17,-14,-11,-73,-80,-68,-97,-58,-47,-18,5,-40,-24,-37,-31,-33,-31,-29,-3,31,-23,-23,-2,16,-3,10,-17,-3,-21,-6,-24,-24,-39,-24,-15,-20,-18,-19,-31,-22,-25,-44,-10,-42,-38,-44,REST
-17,-32,-35,-35,-34,-18,-15,-16,-25,-52,-39,-25,-12,-12,-37,-39,-29,-26,-14,-12,-6,-62,-65,-70,-35,-54,-44,-36,-43,-22,-23,-33,-26,-30,-29,-31,-23,7,5,-8,-5,-2,-6,7,-6,-6,-6,4,-14,-12,-33,-20,-16,-18,-17,-5,-18,-13,-25,-45,-2,-37,-34,-39,REST
-14,-21,-25,-23,-28,-18,-18,-7,-17,-42,-31,-21,-15,-20,-28,-31,-17,-23,-16,-13,-17,-81,-83,-45,-87,-65,-51,-44,-55,-30,-46,-46,-33,-35,-35,-39,-20,1,3,-21,-27,21,-12,5,-4,-15,-10,4,-20,-11,-31,-18,-15,-20,-23,-3,-7,-6,-20,-37,6,-28,-27,-28,REST
2,-4,-8,-7,-17,-6,-4,19,10,-18,-15,-7,-4,1,-5,-4,2,-6,-2,1,-1,-24,-35,-35,25,-40,-18,-64,-41,-3,-17,-10,-7,-10,-12,-21,2,17,15,-24,-18,-2,10,7,12,-8,4,15,-10,-6,-30,-20,-18,-13,-13,3,-7,-16,-21,-25,1,-26,-17,-28,REST
