Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
13,1,-32,-4,-6,2,0,-56,1,-2,-5,3,-18,-15,5,-30,2,-13,0,-2,-15,-45,-53,-4,-46,-22,-26,-8,-9,-21,-24,-12,-12,-7,-5,-7,-18,26,-21,145,9,-14,5,-1,-29,-12,-12,-17,-7,-10,-21,-24,-13,-9,-15,-17,-20,-23,-16,-11,-15,-21,-11,-12,REST
2,-11,-46,-21,-22,-15,-17,-65,-13,-16,-27,-13,-34,-32,1,-39,-12,-26,-14,-19,-26,-50,-58,-22,-63,-41,-41,-25,-20,-22,-34,-21,-21,-20,-18,-21,-31,12,-27,131,5,-19,2,-6,-30,-12,-15,-15,-8,-8,-24,-27,-16,-13,-17,-17,-16,-16,-13,-7,-11,-14,-6,-6,REST
5,-4,-39,-17,-18,-14,-16,-55,-3,-7,-24,-10,-33,-32,11,-32,-4,-17,-10,-19,-21,-49,-55,-16,-37,-34,-28,-17,-19,-7,-26,-1,-8,-7,-10,-10,-20,23,-15,138,15,-12,12,-4,-11,-7,3,2,9,9,-11,-16,-3,-2,-9,0,-2,-2,-6,-1,0,-4,-1,3,REST
17,5,-30,-9,-11,-5,-7,-51,5,3,-13,-4,-25,-26,17,-22,5,-8,-6,-17,-17,-56,-55,-20,-49,-39,-27,-18,-25,-9,-34,-5,-8,-7,-7,-8,-27,16,-18,129,7,-17,-3,-15,-24,-18,-6,-7,3,3,-15,-20,-10,-12,-21,-14,-13,-12,-17,-14,-11,-16,-15,-12,REST
13,6,-26,-5,-6,-3,-5,-41,7,4,-6,1,-16,-15,15,-18,6,-4,0,-15,-10,-59,-72,-32,-62,-72,-22,-16,-29,-7,-26,1,1,2,3,2,-22,18,-24,131,2,-18,-9,-9,-31,-8,-8,-8,4,4,-11,-12,2,-3,-10,-14,-10,-7,-6,-1,-8,-6,-5,-2,REST
16,11,-15,8,7,13,11,-55,8,10,5,17,-2,-4,5,-21,11,5,7,-2,0,-46,-43,-9,-42,-7,-7,2,-30,16,-17,4,-1,10,15,14,4,46,-10,146,21,-5,12,-3,-25,3,-6,-10,5,3,-10,-6,8,2,-6,-13,-10,-8,-5,3,-8,-6,-4,-3,REST
14,5,-18,7,6,15,13,-60,4,6,4,21,-1,-4,7,-23,10,5,10,1,1,-33,-31,2,-36,-7,-14,-7,-39,20,-18,-5,-8,7,15,14,-7,42,-17,117,10,-2,3,-5,-30,2,-6,-11,6,4,-8,-2,10,1,-7,-14,-10,-7,-6,2,-7,-7,-5,-6,REST
19,12,-13,12,12,19,17,-44,15,13,12,30,10,4,18,-13,18,15,22,13,10,-24,-33,6,-26,-11,-9,2,-8,20,-6,6,2,14,22,21,1,53,-7,-123,17,9,11,7,-20,12,5,-1,16,14,4,10,23,12,3,-5,-2,2,3,7,1,-1,3,3,REST
27,23,-4,21,20,27,25,-36,23,23,21,36,16,2,23,-5,26,20,25,16,10,-25,-29,7,-19,-1,-5,12,-3,23,-3,6,4,16,22,21,8,55,-5,-280,18,4,4,5,-17,-1,4,-3,11,5,-3,3,11,2,-9,-13,-11,-10,-9,-5,-11,-14,-11,-9,REST
21,15,-13,11,10,13,10,-44,12,10,7,19,-1,-10,13,-16,11,1,6,-3,-5,-48,-46,1,-28,-11,-15,-5,-18,12,-16,-10,-6,2,8,6,-5,44,-14,-260,9,-6,8,-5,-29,-21,-9,-14,-3,-14,-22,-11,-7,-12,-19,-25,-21,-24,-19,-12,-19,-20,-21,-12,REST
16,9,-21,2,1,10,7,-45,10,3,-2,11,-10,-11,17,-22,4,-6,0,-9,-8,-41,-39,5,-17,-12,-8,2,-30,17,-18,-4,-1,5,11,10,2,52,-7,-253,18,-4,11,1,-15,3,5,-3,4,-9,-14,-8,-4,-6,-11,-12,-10,-16,-13,-4,-8,-14,-14,-4,REST
18,10,-20,1,-1,11,9,-45,11,3,-4,11,-15,-21,23,-23,3,-10,-1,-20,-14,-34,-34,-2,-26,-20,-17,-5,-45,-3,-30,-2,-6,1,5,3,-10,39,-17,-260,12,-13,-10,-8,-21,-11,-3,-6,-3,-13,-18,-21,-13,-17,-21,-19,-14,-19,-21,-15,-12,-21,-20,-14,REST
18,9,-22,-2,-3,2,-1,-40,12,2,-5,11,-18,-22,29,-17,4,-8,1,-16,-11,-43,-39,-4,-37,-31,-16,-3,-26,-8,-36,4,-1,7,4,3,5,54,-13,-254,13,-3,5,0,-12,-6,7,1,5,-2,-8,-9,2,-7,-10,-8,-2,-8,-8,-3,-2,-8,-10,-3,REST
25,14,-14,4,3,13,10,-36,17,8,2,18,-7,-10,27,-12,11,1,7,-11,-4,-45,-39,10,-22,-4,-7,7,-24,1,-11,7,4,10,13,11,13,64,-11,-251,15,-6,18,5,-16,-1,8,-5,3,-4,-11,-12,3,-7,-12,-13,-7,-17,-10,-7,-12,-17,-16,-10,REST
15,5,-25,-3,-4,8,6,-53,5,-2,-6,12,-11,-8,16,-21,2,-8,3,-19,-5,-49,-48,-8,-36,-13,-14,-9,-27,-20,-25,3,-4,-3,2,1,-1,47,-20,-252,12,-11,5,-7,-25,-8,-1,-11,-4,-10,-17,-21,-7,-15,-20,-21,-13,-21,-17,-17,-20,-24,-24,-18,REST
14,5,-25,1,-1,4,1,-46,9,0,-4,15,-9,-8,26,-17,6,-6,5,-16,-3,-48,-44,-4,-33,-29,-8,-5,-24,-16,-34,8,0,3,6,6,2,51,-14,-247,16,-1,11,1,-15,-5,7,1,6,2,-7,-7,2,-6,-14,-7,0,-11,-4,-7,-5,-8,-10,-5,REST
24,14,-16,7,6,13,10,-31,23,10,2,22,-4,-4,31,-11,14,5,10,-11,-6,-43,-42,4,-24,-22,0,2,-26,-9,-30,12,7,7,8,6,3,55,-16,-239,5,-6,-2,-2,-16,-8,5,-1,5,0,-8,-7,-6,-11,-19,-15,-6,-13,-10,-13,-8,-14,-13,-12,REST
15,5,-26,-4,-5,-1,-4,-48,10,-5,-10,9,-19,-18,14,-27,3,-7,-1,-23,-16,-51,-44,-13,-33,-35,-26,-15,-32,-14,-38,-9,-12,-12,-11,-12,-10,42,-21,-186,4,-24,-5,-9,-35,-29,-5,-17,-12,-16,-21,-21,-16,-19,-25,-20,-16,-20,-16,-18,-12,-20,-17,-10,REST
2,-10,-41,-18,-20,-11,-13,-72,-4,-17,-21,-1,-27,-23,-1,-33,-5,-19,-9,-23,-17,-43,-44,-20,-17,-49,-25,-14,-35,-10,-26,-6,-14,-13,-10,-11,-7,51,-16,59,4,-15,5,0,-30,-12,-1,-15,-10,-16,-21,-21,-16,-16,-20,-19,-13,-21,-14,-14,-14,-21,-18,-9,REST
5,-7,-39,-24,-25,-8,-11,-63,-2,-21,-27,-9,-34,-28,-5,-35,-12,-27,-17,-34,-24,-52,-52,-22,-30,-65,-22,-18,-50,-21,-41,-12,-20,-17,-12,-13,-11,44,-31,199,-8,-18,-10,-5,-37,-15,-9,-22,-20,-29,-31,-32,-27,-24,-27,-29,-23,-28,-26,-23,-21,-26,-27,-16,REST
-2,-16,-48,-27,-29,-12,-15,-70,-10,-30,-31,-12,-35,-29,-5,-39,-14,-27,-17,-42,-21,-63,-53,-29,-36,-20,-28,-23,-52,-21,-57,-26,-35,-27,-14,-14,-13,37,-37,222,-8,-23,-5,-8,-37,-20,-8,-17,-17,-24,-25,-30,-18,-18,-21,-23,-18,-17,-18,-14,-13,-15,-14,-8,REST
-7,-21,-57,-30,-32,-10,-13,-69,-10,-32,-33,-11,-31,-26,-2,-37,-13,-25,-16,-39,-18,-55,-55,-40,-44,-27,-30,-18,-77,-12,-47,-38,-40,-33,-15,-16,-17,39,-34,233,-5,-24,-5,-6,-33,-20,-7,-16,-16,-26,-27,-32,-20,-21,-25,-17,-18,-24,-21,-14,-13,-16,-16,-12,REST
-7,-28,-64,-41,-43,-25,-27,-71,-19,-41,-45,-22,-45,-41,-5,-45,-25,-36,-25,-50,-27,-69,-68,-53,-49,-51,-37,-36,-69,-18,-49,-58,-49,-46,-35,-36,-27,30,-43,231,-13,-35,-9,-18,-44,-34,-18,-30,-29,-41,-41,-44,-35,-34,-36,-30,-32,-39,-33,-27,-25,-27,-30,-21,REST
-11,-35,-69,-49,-50,-39,-41,-78,-27,-48,-51,-27,-55,-44,-7,-49,-28,-37,-28,-55,-29,-79,-67,-51,-58,-69,-43,-39,-72,-20,-59,-61,-49,-47,-38,-39,-33,33,-39,240,-11,-29,-5,-16,-41,-26,-12,-25,-25,-34,-35,-38,-26,-26,-29,-25,-28,-35,-27,-21,-22,-21,-23,-13,REST
-9,-30,-64,-45,-47,-32,-34,-76,-19,-44,-43,-20,-49,-39,-4,-45,-23,-30,-27,-49,-25,-56,-56,-36,-49,-75,-34,-32,-60,-13,-60,-54,-41,-43,-32,-33,-36,44,-37,244,-7,-26,0,-11,-44,-24,-13,-29,-27,-34,-36,-42,-26,-31,-31,-33,-34,-40,-33,-25,-27,-29,-30,-23,REST
-16,-35,-72,-50,-51,-36,-38,-82,-22,-49,-47,-25,-48,-42,-11,-49,-25,-34,-30,-52,-30,-70,-72,-50,-63,-71,-38,-44,-61,-28,-67,-69,-56,-52,-40,-40,-49,34,-54,230,-18,-34,-5,-15,-51,-31,-19,-32,-30,-41,-38,-45,-30,-35,-34,-37,-37,-42,-37,-25,-30,-30,-34,-27,REST
